"","stType","gender","X","ID","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","condicao","dfs","fss","autoeficacia.pre","autoeficacia.pos"
"84","stMale","Feminino",44,"p44","male4tpe",441.996,1620178776422,1620179218418,2,"2021-05-04 22:39:34","Aceito",3,2,2,3,2,2,3,3,3,6,6,6,5,6,5,"2021-05-04 22:52:18",4,5,4,4,2,2,3,3,2,8,8,7,7,6,6,"Pardo","Classe Média","Araçoiaba","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",2.55555555555556,3.22222222222222,5.66666666666667,7
"85","stMale","Feminino",46,"p46","male4stem",230.14,1620149378860,1620149609000,2.44948974278318,"2021-05-04 14:29:56","Aceito",3,3,2,3,4,3,2,3,4,4,4,4,4,3,3,"2021-05-04 14:35:42",3,2,3,2,3,3,2,4,4,3,1,3,2,3,3,"Indíge","Classe Média","Araçoiaba","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3,2.88888888888889,3.66666666666667,2.5
"86","stMale","Feminino",47,"p47","male4stem",230.14,1620149378860,1620149609000,2.44948974278318,"2021-05-04 14:24:39","Aceito",3,3,2,3,4,3,2,3,4,4,4,4,4,3,3,"2021-05-04 14:35:42",3,2,3,2,3,3,2,4,4,3,1,3,2,3,3,"Indíge","Classe Média","Araçoiaba","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3,2.88888888888889,3.66666666666667,2.5
"87","stMale","Feminino",50,"p50","male4tpe",156.221,1619715430599,1619715586820,4.24264068711928,"2021-04-29 13:56:02","Aceito",3,3,2,3,4,3,4,5,3,8,8,8,8,4,4,"2021-04-29 14:01:49",3,5,4,2,2,4,2,4,3,8,8,8,7,5,7,"Pardo","Classe Média","Paudalho","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.33333333333333,3.22222222222222,6.66666666666667,7.16666666666667
"88","stMale","Feminino",53,"p53","male4tpe",1200.882,1619715620442,1619716821324,4.12310562561766,"2021-04-29 14:00:27","Aceito",4,2,4,5,5,4,5,5,4,8,5,6,5,6,7,"2021-04-29 14:29:39",4,5,4,4,5,4,3,3,4,8,8,8,8,4,5,"Pardo","Classe Média","Paudalho- Pe","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4.22222222222222,4,6.16666666666667,6.83333333333333
"89","stMale","Feminino",54,"p54","male4tpe",1200.882,1619715620442,1619716821324,4.12310562561766,"2021-04-29 13:56:37","Aceito",4,2,4,5,5,4,5,5,4,8,5,6,5,6,7,"2021-04-29 14:29:39",4,5,4,4,5,4,3,3,4,8,8,8,8,4,5,"Pardo","Classe Média","Paudalho- Pe","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4.22222222222222,4,6.16666666666667,6.83333333333333
"90","stMale","Feminino",63,"p63","male4tpe",527.761,1620154986342,1620155514103,3,"2021-05-04 16:03:22","Aceito",4,4,3,4,4,4,5,5,5,6,6,6,8,8,8,"2021-05-04 16:16:29",3,4,4,3,3,4,3,4,4,8,8,8,8,6,6,"Pardo","Classe Baixa","Carpi","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4.22222222222222,3.55555555555556,7,7.33333333333333
"91","stMale","Feminino",69,"p69","male4stem",6113.038,1620155506416,1620161619454,2.82842712474619,"2021-05-04 16:12:04","Aceito",5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,"2021-05-04 17:56:59",5,5,5,4,5,4,4,5,5,8,8,8,8,3,8,"Branco","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",5,4.66666666666667,8,7.16666666666667
"92","stMale","Feminino",76,"p76","male4stem",113.915,1620148247641,1620148361556,3,"2021-05-04 14:10:43","Aceito",3,2,3,4,3,3,3,4,3,8,8,8,8,1,1,"2021-05-04 14:15:18",4,5,3,3,3,4,4,5,4,8,8,8,8,1,1,"Branco","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.11111111111111,3.88888888888889,5.66666666666667,5.66666666666667
"93","stMale","Feminino",98,"p98","male4stem",288.435,1619808725383,1619809013818,3.46410161513775,"2021-04-30 15:49:54","Aceito",2,4,4,2,5,4,3,4,5,8,8,8,7,7,7,"2021-04-30 15:57:26",4,3,3,1,4,4,5,4,5,8,7,7,6,7,6,"Negro","Classe Baixa","Tracunhaém","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.66666666666667,3.66666666666667,7.5,6.83333333333333
