"","stType","gender","X","ID","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","condicao","dfs","fss","autoeficacia.pre","autoeficacia.pos","std.autoeficacia.pos"
"15","default","Feminino",140,"p140",NA,151.939,1619715758593,1619715910532,2,"2021-04-29 14:02:36","Aceito",1,1,1,5,5,5,5,5,1,1,1,8,1,1,1,"2021-04-29 14:08:51",5,5,1,5,5,5,5,5,5,1,1,1,1,1,1,"Pardo","Classe Baixa","Paudalho, próx a entrada da usi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.22222222222222,4.55555555555556,4.15,3.68333333333334,-2.82842712474619
"16","default","Masculino",17,"p17",NA,290.597,1620149496614,1620149787211,12,"2021-05-04 14:31:36","Aceito",5,5,5,4,4,5,5,3,5,8,8,8,8,8,8,"2021-05-04 14:38:27",3,5,4,3,3,4,4,4,4,8,8,8,3,1,1,"Negro","Classe Média","Carpi PE","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.55555555555556,3.77777777777778,8,4.83333333333333,-2.04124145231932
"17","default","Masculino",18,"p18",NA,169.277,1619809804544,1619809973821,15,"2021-04-30 16:04:07","Aceito",5,3,3,4,4,5,5,5,5,8,8,8,6,8,6,"2021-04-30 16:18:35",5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,"Pardo","Classe Média","Araçoiaba","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.33333333333333,5,7.33333333333333,8,-1
"18","default","Masculino",21,"p21",NA,287.373,1620147109280,1620147396653,11,"2021-05-04 13:51:43","Aceito",3,4,3,5,4,4,1,4,5,8,8,8,7,7,4,"2021-05-04 13:59:54",2,5,4,5,5,4,5,3,4,8,3,2,8,1,8,"Amarelo","Classe Baixa","lagoa do itaenga","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.66666666666667,4.11111111111111,7,5,-2
"19","default","Masculino",25,"p25",NA,314.21,1619802968480,1619803282690,13,"2021-04-30 14:16:03","Aceito",4,2,4,5,4,4,3,3,4,6,6,8,8,8,8,"2021-04-30 14:22:20",4,4,4,3,5,3,5,4,5,7,7,8,5,8,6,"Pardo","Classe Média","Carpi PE","3º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.66666666666667,4.11111111111111,7.33333333333333,6.83333333333333,-1.47196014438798
"20","default","Masculino",26,"p26",NA,314.21,1619802968480,1619803282690,13,"2021-04-30 14:15:28","Aceito",4,2,4,5,4,4,3,3,4,6,6,8,8,8,8,"2021-04-30 14:22:20",4,4,4,3,5,3,5,4,5,7,7,8,5,8,6,"Pardo","Classe Média","Carpi PE","3º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.66666666666667,4.11111111111111,7.33333333333333,6.83333333333333,-1.47196014438798
"21","default","Masculino",39,"p39",NA,358.679,1620157612216,1620157970895,11,"2021-05-04 16:47:01","Aceito",3,1,4,4,5,4,1,3,4,8,8,8,8,6,7,"2021-05-04 16:57:11",4,5,4,3,3,4,5,4,5,8,7,6,7,6,6,"Pardo","Classe Média","Lagoa de Itaenga","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.22222222222222,4.11111111111111,7.5,6.66666666666667,-1.52752523165195
"22","default","Masculino",41,"p41",NA,272.729,1620146891206,1620147163935,15,"2021-05-04 13:48:29","Aceito",3,2,3,4,4,3,2,3,5,8,8,8,8,5,7,"2021-05-04 13:57:11",4,2,3,2,3,3,3,3,4,8,8,7,7,5,6,"Negro","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.22222222222222,3,7.33333333333333,6.83333333333333,-1.47196014438798
"23","default","Masculino",51,"p51",NA,351.77,1619716644364,1619716996134,11,"2021-04-29 14:15:14","Aceito",3,2,4,5,3,4,3,2,5,4,3,2,1,1,4,"2021-04-29 14:26:51",4,4,3,2,2,3,3,3,4,5,3,3,4,3,3,"Pardo","Classe Média","Paudalho - Permbuco","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.44444444444444,3.11111111111111,5,4.53333333333333,-2.34520787991171
"24","default","Masculino",60,"p60",NA,214.881,1619715426212,1619715641093,13,"2021-04-29 13:57:02","Aceito",1,2,1,3,3,3,1,5,1,8,8,8,8,7,6,"2021-04-29 14:02:42",1,5,5,3,3,3,1,1,1,8,4,6,5,5,1,"Branco","Classe Média","Paudalho","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",2.22222222222222,2.55555555555556,7.5,4.83333333333333,-2.04124145231932
"25","default","Masculino",72,"p72",NA,360.825,1619714802555,1619715163380,14,"2021-04-29 13:41:08","Aceito",5,4,4,3,5,5,1,5,5,8,8,8,8,8,8,"2021-04-29 14:02:01",5,5,3,5,3,5,5,4,2,8,8,8,8,7,8,"Branco","Classe Média","JARDIM BRASIL oLINDA","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.11111111111111,4.11111111111111,8,7.83333333333333,-1.08012344973464
"26","default","Masculino",77,"p77",NA,388.422,1619829720506,1619830108928,14,"2021-04-30 21:41:59","Aceito",5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,"2021-04-30 21:53:00",5,5,5,4,4,5,5,5,5,8,8,8,8,8,8,"Amarelo","Classe Média","Carpi","3º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",5,4.77777777777778,8,8,-1
"27","default","Masculino",87,"p87",NA,273.339,1619804968820,1619805242159,13,"2021-04-30 14:49:28","Aceito",3,2,4,3,4,4,1,5,4,8,8,8,8,5,6,"2021-04-30 14:56:49",5,2,3,2,3,5,4,4,5,8,8,8,8,1,8,"Pardo","Classe Média","Carpi","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.33333333333333,3.66666666666667,7.16666666666667,6.83333333333333,-1.47196014438798
"28","default","Masculino",106,"p106",NA,291.052,1619714172840,1619714463892,12,"2021-04-29 13:36:09","Aceito",3,3,2,5,3,2,4,5,2,6,6,7,4,4,3,"2021-04-29 13:44:03",3,2,2,4,5,5,4,3,2,5,6,7,5,7,5,"Pardo","Classe Média","Paudalho","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.22222222222222,3.33333333333333,5,5.83333333333333,-1.77951304200522
"29","default","Masculino",107,"p107",NA,292.125,1619714172840,1619714464965,12,"2021-04-29 13:36:09","Aceito",3,3,2,5,3,2,4,5,2,6,6,7,4,4,3,"2021-04-29 13:44:03",3,2,2,4,5,5,4,3,2,5,6,7,5,7,5,"Pardo","Classe Média","Paudalho","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.22222222222222,3.33333333333333,5,5.83333333333333,-1.77951304200522
"30","default","Masculino",112,"p112",NA,326.475,1619715775330,1619716101805,15,"2021-04-29 14:02:53","Aceito",3,2,2,5,4,4,5,5,3,5,7,6,6,8,6,"2021-04-29 14:13:41",4,5,4,3,1,5,4,3,5,7,2,7,6,3,2,"Branco","Classe Baixa","Paudalho","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.66666666666667,3.77777777777778,6.33333333333333,4.53333333333333,-2.12132034355964
"31","default","Masculino",116,"p116",NA,448.879,1620148440976,1620148889855,11,"2021-05-04 14:13:46","Aceito",5,2,2,4,5,3,4,4,3,8,8,8,8,8,8,"2021-05-04 14:33:50",3,5,4,3,4,3,3,4,5,8,8,8,8,5,8,"Branco","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.55555555555556,3.77777777777778,8,7.5,-1.22474487139159
"32","default","Masculino",117,"p117",NA,362.206,1620147096610,1620147458816,18,"2021-05-04 13:50:45","Aceito",4,3,2,2,3,3,1,1,3,8,8,8,8,8,8,"2021-05-04 14:00:52",5,3,4,1,1,5,5,4,5,8,8,8,8,8,8,"Pardo","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",2.44444444444444,3.66666666666667,8,8,-1
"33","default","Masculino",122,"p122",NA,408.339,1620146732098,1620147140437,18,"2021-05-04 13:45:30","Aceito",3,2,3,5,4,1,5,5,5,8,8,8,8,8,8,"2021-05-04 13:55:36",5,5,5,5,1,5,1,5,5,8,8,7,8,5,6,"Pardo","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.66666666666667,4.11111111111111,8,7,-1.4142135623731
"34","default","Masculino",124,"p124",NA,38.154,1620146780889,1620146819043,3,"2021-05-04 13:46:36","Aceito",3,1,4,4,4,3,2,3,5,8,8,8,3,8,1,"2021-05-04 13:49:11",3,5,4,1,5,5,4,5,4,8,4,7,4,4,7,"Pardo","Classe Baixa","Lagoa do carro","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.22222222222222,4,6,5.66666666666667,-1.82574185835055
"35","default","Masculino",130,"p130",NA,171.647,1620147207959,1620147379606,13,"2021-05-04 13:51:23","Aceito",5,4,5,5,5,4,4,3,5,8,8,8,8,7,7,"2021-05-04 13:57:54",5,5,4,3,5,4,4,4,4,7,7,8,7,7,7,"Pardo","Classe Média","Carpi-pe","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.44444444444444,4.22222222222222,7.66666666666667,7.16666666666667,-1.35400640077266
"36","default","Masculino",131,"p131",NA,171.647,1620147207959,1620147379606,13,"2021-05-04 13:50:30","Aceito",5,4,5,5,5,4,4,3,5,8,8,8,8,7,7,"2021-05-04 13:57:54",5,5,4,3,5,4,4,4,4,7,7,8,7,7,7,"Pardo","Classe Média","Carpi-pe","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.44444444444444,4.22222222222222,7.66666666666667,7.16666666666667,-1.35400640077266
"37","default","Masculino",132,"p132",NA,171.647,1620147207959,1620147379606,13,"2021-05-04 13:53:27","Aceito",5,4,5,5,5,4,4,3,5,7,7,8,7,7,7,"2021-05-04 13:57:54",5,5,4,3,5,4,4,4,4,7,7,8,7,7,7,"Pardo","Classe Média","Carpi-pe","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.44444444444444,4.22222222222222,7.16666666666667,7.16666666666667,-1.35400640077266
"38","default","Masculino",133,"p133",NA,274.124,1620147157540,1620147431664,11,"2021-05-04 13:52:36","Aceito",3,3,4,5,5,3,2,3,4,7,5,6,7,5,6,"2021-05-04 14:00:18",3,5,3,4,1,3,4,5,2,8,7,5,8,5,4,"Pardo","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.55555555555556,3.33333333333333,6,6.16666666666667,-1.68325082306035
"39","stFemale","Feminino",22,"p22","female4math",190.557,1619811081811,1619811272368,11,"2021-04-30 16:31:19","Aceito",4,4,5,5,5,5,4,5,4,8,8,8,8,5,5,"2021-04-30 16:37:49",5,4,3,4,2,4,5,3,5,6,7,6,3,3,4,"Pardo","Classe Média","Araçoiaba","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4.55555555555556,3.88888888888889,7,4.83333333333333,-2.04124145231932
"40","stFemale","Feminino",24,"p24","female4trigemeas",372.012,1619802991593,1619803363605,15,"2021-04-30 14:16:20","Aceito",2,1,1,3,3,2,3,4,3,8,8,8,8,8,8,"2021-04-30 14:27:02",5,1,2,3,4,5,3,2,5,8,8,7,8,1,6,"Branco","Classe Média","Lagoa do Carro","3º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",2.44444444444444,3.33333333333333,7.81666666666667,6.33333333333333,-1.63299316185545
"41","stFemale","Feminino",31,"p31","female4bolsas",247.075,1620147260144,1620147507219,12,"2021-05-04 13:54:36","Aceito",4,3,2,4,3,3,2,2,4,5,4,3,5,4,3,"2021-05-04 14:01:33",5,2,2,4,4,4,5,4,5,8,8,8,8,1,8,"Pardo","Classe Média","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3,3.88888888888889,4,6.83333333333333,-1.47196014438798
"42","stFemale","Feminino",36,"p36","female4math",75.487,1620048887416,1620048962903,7,"2021-05-03 10:28:58","Aceito",3,3,3,3,3,3,3,3,3,6,6,6,7,8,8,"2021-05-03 10:31:49",5,5,4,4,4,4,4,4,5,5,6,6,7,8,7,"Branco","Classe Alta","capi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3,4.33333333333333,6.83333333333333,6.5,-1.58113883008419
"43","stFemale","Feminino",55,"p55","female4bolsas",244.243,1620147117665,1620147361908,4,"2021-05-04 13:53:44","Aceito",4,1,5,5,5,5,4,5,5,3,6,4,2,2,2,"2021-05-04 14:02:39",4,3,3,3,4,4,2,4,5,6,2,7,2,1,7,"Branco","Classe Média","LAGOA DE ITAENGA","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4.33333333333333,3.55555555555556,3.625,4.16666666666667,-2.19848432637882
"44","stFemale","Feminino",57,"p57","female4trigemeas",68.142,1620147315660,1620147383802,5,"2021-05-04 13:55:13","Aceito",4,5,3,5,3,4,5,5,5,5,6,8,5,4,6,"2021-05-04 13:57:16",5,4,5,4,5,4,5,4,5,5,5,5,6,5,6,"Pardo","Classe Média","Tracunhaém","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4.33333333333333,4.55555555555556,5.66666666666667,5.33333333333333,-1.91485421551268
"45","stFemale","Feminino",58,"p58","female4bolsas",311.647,1619804978571,1619805290218,14,"2021-04-30 14:49:33","Aceito",3,2,3,5,4,3,3,4,3,8,8,8,7,7,6,"2021-04-30 15:00:12",3,5,3,2,4,3,3,3,4,8,5,6,7,4,4,"Pardo","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.33333333333333,3.33333333333333,7.33333333333333,5.66666666666667,-1.82574185835055
"46","stFemale","Feminino",59,"p59","female4bolsas",240.91,1619715892101,1619716133011,16,"2021-04-29 14:04:46","Aceito",3,2,4,5,5,3,2,3,4,8,8,8,7,7,6,"2021-04-29 14:33:47",4,3,3,3,2,5,4,3,4,8,7,7,6,7,7,"Negro","Classe Média","Paudalho- PE","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.44444444444444,3.44444444444444,7.33333333333333,7,-1.4142135623731
