"","stType","gender","X","ID","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","condicao","dfs","fss","autoeficacia.pre","autoeficacia.pos"
"46","stFemale","Feminino",59,"p59","female4bolsas",240.91,1619715892101,1619716133011,16,"4/29/21 14:04","Aceito",3,2,4,5,5,3,2,3,4,8,8,8,7,7,6,"4/29/21 14:33",4,3,3,3,2,5,4,3,4,8,7,7,6,7,7,"Negro","Classe Média","Paudalho- PE","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.444444444,3.444444444,7.333333333,7
"48","stFemale","Feminino",90,"p90","female4bolsas",129.907,1620147083272,1620147213179,3,"5/4/21 13:51","Aceito",4,1,5,5,5,5,5,4,5,8,7,8,8,7,8,"5/4/21 13:55",5,5,5,5,5,5,5,5,5,8,8,7,7,8,8,"Pardo","Classe Média","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4.333333333,4.88333333345,7.666666667,7.666666667
"49","stFemale","Feminino",119,"p119","female4trigemeas",262.578,1620147447694,1620147710272,13,"5/4/21 13:57","Aceito",2,3,2,4,3,4,2,4,5,8,8,8,8,8,1,"5/4/21 14:05",1,5,4,4,5,1,1,5,4,8,8,2,2,1,1,"Branco","Classe Média","zaré Da Mata","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.222222222,3.333333333,6.833333333,3.666666667
"50","stFemale","Feminino",123,"p123","female4bolsas",339.941,1620147137257,1620147477198,14,"5/4/21 13:52","Aceito",3,4,3,2,2,3,4,4,5,7,8,7,6,8,6,"5/4/21 14:02",4,4,3,5,4,2,4,4,5,8,8,4,7,2,6,"Branco","Classe Média","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.333333333,3.888888889,7,5.833333333
"54","stFemale","Masculino",8,"p08","female4math",171.267,1620148877169,1620149048436,13,"5/4/21 14:01","Aceito",4,4,4,4,3,4,3,4,3,8,8,8,8,7,7,"5/4/21 14:25",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.666666667,3.444444444,7.666666667,6.5
"55","stFemale","Masculino",11,"p11","female4math",171.267,1620148877169,1620149048436,13,"5/4/21 14:21","Aceito",4,4,3,4,3,4,3,4,4,8,8,8,6,6,5,"5/4/21 14:17",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.666666667,3.444444444,6.833333333,6.5
"56","stFemale","Masculino",12,"p12","female4math",171.267,1620148877169,1620149048436,13,"5/4/21 14:21","Aceito",4,4,3,4,3,4,3,4,4,8,8,8,6,6,5,"5/4/21 14:25",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.666666667,3.444444444,6.833333333,6.5
"57","stFemale","Masculino",15,"p15","female4trigemeas",458.785,1620149636907,1620150095692,14,"5/4/21 14:32","Aceito",5,4,4,4,4,4,3,3,5,8,8,8,8,8,3,"5/4/21 14:44",4,2,4,3,3,5,4,4,5,8,8,7,4,3,3,"Negro","Classe Baixa","zaré da Mata","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4,3.777777778,7.166666667,5.5
"58","stFemale","Masculino",16,"p16","female4trigemeas",458.785,1620149636907,1620150095692,14,"5/4/21 14:34","Aceito",5,4,4,4,4,4,3,3,5,8,8,8,8,8,3,"5/4/21 14:44",4,2,4,3,3,5,4,4,5,8,8,7,4,3,3,"Negro","Classe Baixa","zaré da Mata","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4,3.777777778,7.166666667,5.5
"59","stFemale","Masculino",20,"p20","female4trigemeas",270.65,1620149555186,1620149825836,16,"5/4/21 14:32","Aceito",4,3,2,4,3,3,1,2,4,7,6,7,5,7,6,"5/4/21 14:42",4,5,3,4,1,4,5,3,2,8,8,8,8,6,8,"Pardo","Classe Baixa","Carpi","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.0222222222,3.444444444,6.333333333,7.666666667
