"","condicao","X","ID","stType","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","gender","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","dfs","fss","autoeficacia.pre","autoeficacia.pos"
"47","inBoost",111,"p111","stMale","male4tpe",536.301,1619804542557,1619805078858,15,"2021-04-30 14:39:44","Aceito",4,3,2,3,3,1,1,5,3,7,7,7,6,5,3,"2021-04-30 14:58:06",4,1,3,5,5,4,4,5,3,8,4,8,8,4,4,"Pardo","Masculino","Classe Baixa","Araçoiaba","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,2.77777777777778,3.77777777777778,5.83333333333333,6
"48","inBoost",119,"p119","stFemale","female4trigemeas",262.578,1620147447694,1620147710272,13,"2021-05-04 13:57:29","Aceito",2,3,2,4,3,4,2,4,5,8,8,8,8,8,1,"2021-05-04 14:05:17",1,5,4,4,5,1,1,5,4,8,8,2,2,1,1,"Branco","Feminino","Classe Média","zaré Da Mata","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.22222222222222,3.33333333333333,6.83333333333333,3.66666666666667
"50","inBoost",123,"p123","stFemale","female4bolsas",339.941,1620147137257,1620147477198,14,"2021-05-04 13:52:18","Aceito",3,4,3,2,2,3,4,4,5,7,8,7,6,8,6,"2021-05-04 14:02:02",4,4,3,5,4,2,4,4,5,8,8,4,7,2,6,"Branco","Feminino","Classe Média","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.33333333333333,3.88888888888889,7,5.83333333333333
"51","inBoost",125,"p125","stMale","male4tpe",275.092,1619807733897,1619808008989,14,"2021-04-30 15:35:33","Aceito",4,2,3,5,4,4,3,5,5,8,8,8,6,3,2,"2021-04-30 15:44:25",4,3,3,4,5,5,4,4,5,8,8,7,8,6,4,"Negro","Masculino","Classe Média","Tracunhaem","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.88888888888889,4.11111111111111,5.83333333333333,6.83333333333333
"52","inBoost",126,"p126","stMale","male4tpe",275.092,1619807733897,1619808008989,14,"2021-04-30 15:34:29","Aceito",4,2,3,5,4,4,3,5,5,8,8,8,6,3,2,"2021-04-30 15:44:25",4,3,3,4,5,5,4,4,5,8,8,7,8,6,4,"Negro","Masculino","Classe Média","Tracunhaem","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.88888888888889,4.11111111111111,5.83333333333333,6.83333333333333
"53","inBoost",134,"p134","stMale","male4stem",338.283,1620147325083,1620147663366,10,"2021-05-04 13:55:43","Aceito",3,3,2,2,3,4,2,3,5,7,7,8,6,5,6,"2021-05-04 14:06:14",3,4,2,5,4,4,5,3,4,8,8,6,6,5,5,"Branco","Masculino","Classe Média","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3,3.77777777777778,6.5,6.33333333333333
"54","inBoost",136,"p136","stMale","male4enem",2061.17,1619811583189,1619813644359,19,"2021-04-30 16:39:40","Aceito",4,3,4,4,3,3,4,3,4,7,7,7,7,7,7,"2021-04-30 17:25:07",4,4,4,3,3,4,4,4,3,7,7,7,7,7,7,"Negro","Masculino","Classe Baixa","Carpi","2º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.55555555555556,3.66666666666667,7,7
"55","inBoost",142,"p142","stMale","male4enem",442.003,1620155306812,1620155748815,13,"2021-05-04 16:03:58","Aceito",4,4,4,5,4,4,5,5,5,8,8,8,8,8,8,"2021-05-04 16:20:03",4,5,4,4,5,5,5,5,5,8,8,8,8,8,8,"Pardo","Masculino","Classe Média","Carpi PE","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,4.44444444444444,4.66666666666667,8,8
"56","inThreat",5,"p05","stFemale","female4math",171.267,1620148877169,1620149048436,13,"2021-05-04 14:09:02","Aceito",4,4,3,4,3,4,3,4,3,8,8,8,8,6,6,"2021-05-04 14:17:47",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.55555555555556,3.44444444444444,7.33333333333333,6.5
"57","inThreat",6,"p06","stFemale","female4math",171.267,1620148877169,1620149048436,13,"2021-05-04 14:09:02","Aceito",4,4,3,4,3,4,3,4,3,8,8,8,8,6,6,"2021-05-04 14:25:46",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.55555555555556,3.44444444444444,7.33333333333333,6.5
