"","condicao","X","ID","stType","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","gender","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","dfs","fss","autoeficacia.pre","autoeficacia.pos"
"132","neutro",118,"p118","default",NA,167.508,1620148131646,1620148299154,10,"2021-05-04 14:08:51","Aceito",3,3,4,4,4,3,4,3,4,5,5,6,6,5,5,"2021-05-04 14:15:00",3,4,4,3,2,4,5,5,4,8,5,6,5,5,7,"Branco","Feminino","Classe Média","araçoiaba","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.55555555555556,3.77777777777778,5.33333333333333,6
"133","neutro",122,"p122","default",NA,408.339,1620146732098,1620147140437,18,"2021-05-04 13:45:30","Aceito",3,2,3,5,4,1,5,5,5,8,8,8,8,8,8,"2021-05-04 13:55:36",5,5,5,5,1,5,1,5,5,8,8,7,8,5,6,"Pardo","Masculino","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.66666666666667,4.11111111111111,8,7
"134","neutro",124,"p124","default",NA,38.154,1620146780889,1620146819043,3,"2021-05-04 13:46:36","Aceito",3,1,4,4,4,3,2,3,5,8,8,8,3,8,1,"2021-05-04 13:49:11",3,5,4,1,5,5,4,5,4,8,4,7,4,4,7,"Pardo","Masculino","Classe Baixa","Lagoa do carro","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.22222222222222,4,6,5.66666666666667
"135","neutro",127,"p127","default",NA,108.346,1620146742077,1620146850423,4,"2021-05-04 13:45:39","Aceito",4,5,5,5,5,3,5,5,5,8,8,8,8,8,8,"2021-05-04 13:48:57",5,5,4,5,5,5,3,2,4,5,3,4,3,3,2,"Pardo","Feminino","Classe Baixa","Lagoa de itaenga","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,4.57222222222223,4.22222222222222,8,3.33333333333333
"136","neutro",128,"p128","default",NA,275.79,1620149737892,1620150013682,12,"2021-05-04 14:35:37","Aceito",3,4,4,2,4,2,4,3,5,8,8,8,7,8,8,"2021-05-04 14:43:51",4,5,3,3,2,5,4,4,5,8,7,7,7,4,7,"Branco","Feminino","Classe Baixa",NA,"2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.44444444444444,3.88888888888889,7.83333333333333,6.66666666666667
"137","neutro",129,"p129","default",NA,182.952,1620146970014,1620147152966,3,"2021-05-04 13:49:46","Aceito",4,3,3,4,4,4,3,4,3,6,6,5,5,6,6,"2021-05-04 13:58:33",3,3,2,1,1,2,2,1,1,6,6,7,7,3,6,"Branco","Feminino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.55555555555556,2.88888888888889,5.66666666666667,5.83333333333333
"138","neutro",130,"p130","default",NA,171.647,1620147207959,1620147379606,13,"2021-05-04 13:51:23","Aceito",5,4,5,5,5,4,4,3,5,8,8,8,8,7,7,"2021-05-04 13:57:54",5,5,4,3,5,4,4,4,4,7,7,8,7,7,7,"Pardo","Masculino","Classe Média","Carpi-pe","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,4.44444444444444,4.22222222222222,7.66666666666667,7.16666666666667
"139","neutro",131,"p131","default",NA,171.647,1620147207959,1620147379606,13,"2021-05-04 13:50:30","Aceito",5,4,5,5,5,4,4,3,5,8,8,8,8,7,7,"2021-05-04 13:57:54",5,5,4,3,5,4,4,4,4,7,7,8,7,7,7,"Pardo","Masculino","Classe Média","Carpi-pe","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,4.44444444444444,4.22222222222222,7.66666666666667,7.16666666666667
"140","neutro",132,"p132","default",NA,171.647,1620147207959,1620147379606,13,"2021-05-04 13:53:27","Aceito",5,4,5,5,5,4,4,3,5,7,7,8,7,7,7,"2021-05-04 13:57:54",5,5,4,3,5,4,4,4,4,7,7,8,7,7,7,"Pardo","Masculino","Classe Média","Carpi-pe","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,4.44444444444444,4.22222222222222,7.16666666666667,7.16666666666667
"141","neutro",133,"p133","default",NA,274.124,1620147157540,1620147431664,11,"2021-05-04 13:52:36","Aceito",3,3,4,5,5,3,2,3,4,7,5,6,7,5,6,"2021-05-04 14:00:18",3,5,3,4,1,3,4,5,2,8,7,5,8,5,4,"Pardo","Masculino","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.55555555555556,3.33333333333333,6,6.16666666666667
"142","neutro",140,"p140","default",NA,151.939,1619715758593,1619715910532,2,"2021-04-29 14:02:36","Aceito",1,1,1,5,5,5,5,5,1,1,1,8,1,1,1,"2021-04-29 14:08:51",5,5,1,5,5,5,5,5,5,1,1,1,1,1,1,"Pardo","Feminino","Classe Baixa","Paudalho, próx a entrada da usi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.22222222222222,4.55555555555556,2.16666666666667,1
